config,gender,n,selection_rate,tpr,fpr,accuracy
honest_baseline,F,49177,0.6730788783374342,0.822627037392138,0.4544134581685275,0.7101083840006507
honest_baseline,M,150528,0.6369844812925171,0.815536135710447,0.4016231866202606,0.7218590561224489
mitigation_feature_removal,F,49177,0.6781218862476361,0.827249691823038,0.4600710959795724,0.7105557476055879
mitigation_feature_removal,M,150528,0.6362005739795918,0.8144028787064513,0.4012997813164136,0.7213541666666666
mitigation_per_group_threshold,F,49177,0.649490615531651,0.801397068894672,0.4273769588945076,0.7084816072554243
mitigation_per_group_threshold,M,150528,0.6502112563775511,0.8266817767600533,0.4175932485292759,0.7213076636904762
